Contract,Token,Symbol,PairId,Price,MarketCap,Liquidity,FDV
FxV8nhZvD5XazYUw4aCcauv6ouyP7JyoAMru9TDkLjBa,Screaming Rubber Chicken,AI,5ifDbofZSPg9NZqdX7g45pD5xyTYCVx3CVZQVUTta9SA,$0.001309,$1.3B,$5.2M,$1.3B
2SrBET8ozwrdFRWbVbVpWivwo6w8jSJogwfK4JxgVg58,Korosuke,Coin,B932LGVDwX849dR1n7fUbyRUCm81qSry8h43n96QZXph,$0.000181,$181.0M,$724K,$181.0M
TpAV5VuCVzN3LzABBMxdNuv1PLhBNQNsvTrAsi3AvLT,Franklin The Turtle,00,UCngzL59z6uoTQPcQVuDxPwDw7UD9pTLNUvrU9WfZP7,$0.001830,$1.8B,$7.3M,$1.8B
C5ABH63ChK86B4DiPaFU1fP2iomZBjY2AGPLnXicpiDY,Soter, THE˙,7f2zM6oSc22j4B59rWXraY19M7G12Kv5c55NE7SW8a2a,$0.000830,$829.9M,$3.3M,$829.9M
4HBQm2EhdpUWZkTYxttxNDnsoWi5beRAGWHpjVo8pump,Cat Terminal,CAT,BjkBxREU5J1gi9J4o68EMurMdkwkWNf8jhjkGMNUqRmr,$0.011290,$11.3M,$440K,$11.3M
148EfHA7f3XFrMg4usNAeAfHhpphoRmVkm72nQqnTXkP,Trenches Wrapped,ㅤ,D26BjZNe2NVrHSo8Mi6oMPbcNn27nbfHfMQNFitzW9Xq,$0.000048,$48.1M,$192K,$48.1M
7hww57NwjLDmK92MxFZQZcqAMaB6y54yPpn47i9UWrM2,2026,THE˙,GMKRqahVeA5ELoz7jZrxEQjEuoRUqtRYkK8P6ekjzFdY,$0.000518,$518.1M,$2.1M,$518.1M
8zXG2qkGKhiS8dFH9EQ18Y23dFWhSFrxRwbDPLgsSnMx,JUICE,00,6TYfT9L35XrTGUAuUcUwHYU4uibwJMF9v5gFA1RwSGqB,$0.000341,$340.9M,$1.4M,$340.9M
GkY5gVm3f9ZH2sSPLZURQBXZP5JN8tbqTL9UGkHUqA2G,NOTHING GBACK XVM XERISCOIN774,KABUTOMSHE,3C33pQ9q9WjFKCpem8pT5mtegAp9XQ1VEx1wTNX6bxm8,$1.550000,$156.0M,$156.0M,$156.0M
7dUKUopcNWW6CcU4eRxCHh1uiMh32zDrmGf6ufqhxann,Baby Doge Coin,BabyDoge,8ssUoNgsmob23argRdQayyMJbvy41hZxwzvXnviFnSvU,$0.000000,$102.1M,$269K,$171.5M
7N4tdnRAs39NhLkXi74BEPpzE1Z6AvVoPckgab3m2hgf,The Official 67 Coin,Coin,C6usWx9rbKh3zNLTmctGrY62EEanmxvSiL4voeFfjua4,$0.021430,$2.1B,$85.7M,$2.1B
58bejSHNu9onqtBC3Q5EwMVPtYyQrEEibyVUQJQ2TV7K,PayAI Network,PAYAI,BAPHWn3BPGPh26cP4VLnzhtAzRhvdVfMj8nsQiTvGFuX,$0.042920,$429.3M,$428.3M,$429.3M
Cpnm1fZUjm48M54Gaae2kwQfMgHX9NZHozhyVb55rfyD,Popcat (SOL),POPCAT,EbYMiGkh36mcQ6sHDdizW96Qd3CsM9GTw8kSbA4fPvhv,$0.617900,$605.6M,$604.4M,$605.6M
CzFvsLdUazabdiu9TYXujj4EY495fG7VgJJ3vQs6bonk,RADR,RADR,HdVSFB94b9qJXPgQNWyho75hgrybmM5P1ex2wmAfmYgS,$0.002059,$2.1M,$174K,$2.1M
6VLPpJdMuDaq62oSXhY97FXA72nkNfFg61ZZjzmiNn9W,Avici,AVICI,By6c7itsr7iw3SGaNh6LJMjUEefj6FEgkqqEpyBCeHXJ,$3.150000,$3.2B,$787.7M,$3.2B
4qrwcQHTqSkqzinEpK6V7sBc731SFkgNz3GfUqxmGUSc,You’ll own nothing & be happy,AI,H3n5hHvGr8w5iqmNkxy8KYkgNjxP8Bie2y8DgFAQn6iz,$0.001910,$1.9B,$7.6M,$1.9B
Fh7mLxtPAysdvHcMcJ37A3vc6WvBVh7JVDwxmwk6pump,GIVEBACK,GBACK,5imMdVjpsBM84z9JvYw1aHfNF8zTA3unrmWeYUQKkiQs,$0.005637,$5.6M,$231K,$5.6M
Eowmevno7iY2mdPZ7XVr7xLVDCTmqtnypDfjXHYTTNZ,nubcat,NUB,32GJJvb2L5RnQMki91Edyd7vfao1fXPFHMs3aywQRpJm,$0.017450,$17.4M,$16.4M,$17.4M
6sADkbuRcPzfUtTzfxTFKYeVoM95VTJM9Lksu33L3S6Q,Bagwork,Bagwork,C5gBQRptqNwfmcnFz6CpvLYGRtjMvCWt8B546pie1cwm,$0.022680,$226.9M,$225.9M,$226.9M
6ChkJxiCJPS3rFteknwSup73S6oceWqaG6QyDiFyd3HY,Act I : The AI Prophecy,ACT,EcKrXbUUZJZ9HoJoD4WwD29Q5rspVq5d6nhgCzbqZtMJ,$0.207600,$196.9M,$195.9M,$196.9M
J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,SPX6900 (Wormhole),SPX,9t1H1uDJ558iMPNkEPSN1fqkpC4XSPQ6cqSf6uEsTfTR,$0.478400,$60.0M,$2.3M,$60.0M
HuiFbLTyNsFtc5WbfXhZCg7AaSjRXAkxbwGzFFrqhRxg,Aura,AURA,8FqgoA6bvJwc7xzqCyH5AZM3ZvgzsTNEd1j1q5rJUWuC,$0.140200,$135.4M,$134.4M,$135.4M
2Vn3Vj96LMK1Wkg9C2MHYhcS1EiZEq9RB55P5YWeqauU,MORI COIN,MORI,4KWUvWMpBxp71rccQVDqTqxAbuJUJaVidcQfzwpQKu9a,$0.195400,$195.4M,$194.4M,$195.4M
Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,Just a chill guy,CHILLGUY,93tjgwff5Ac5ThyMi8C4WejVVQq4tuMeMuYW1LEYZ7bu,$0.016300,$16.3M,$1.5M,$16.3M
Ce2gx9KGXJ6C9Mp5b5x1sn9Mg87JwEbrQby4Zqo3pump,NotInEmploymentEducationTraining,neet,5wNu5QhdpRGrL37ffcd6TMMqZugQgxwafgz477rShtHy,$0.007510,$7.5M,$770K,$7.5M
ch7rTovcUK7C1zNFM7F93kXU2CByYUsJT4pwYx7pump,Official PPshow ,PP,H9YAf1gvANURxq4LatFVF56UnAPpk1FU8jqC8XY6FYdG,$0.004558,$2.3M,$222K,$4.1M
6uR93yvbm6t9zWA5bePe2mtqWd1hXauQwgs9TcUnj9MR,Housecoin,HOUSE,3dED3CAuqtZrLtkuhJHtFzNiR75P1QxPMBthFibsfLWV,$0.101700,$101.8M,$100.8M,$101.8M
Gka1TQEevBbVw4W9K15ER96ZzKByMTb6TBMQzWFEpump,Never Give Up,MINER,7RewgB9eXiLbaFdLU14cQLY46wH4Ccn46DxsMh51iGay,$0.000626,$626K,$104K,$626K
Fj732haAQoW2GfL73bwThJFNAvAcCoHZ6vmUnFA2rxyh,SwarmNode.ai,SNAI,BK5uZwP8zo9KXpYwDYUKhsPxRR6BvuzwhfM9sSQExjXD,$0.055630,$55.6M,$54.5M,$55.6M
CniPCE4b3s8gSUPhUiyMjXnytrEqUrMfSsnbBjLCpump,PWEASE,pwease,9fmdkQipJK2teeUv53BMDXi52uRLbrEvV38K8GBNkiM7,$0.002224,$2.2M,$657K,$2.2M
FenZrzq6ET7D7oDBQ7aZcVHG1CzfegsxmfQEg7xAQMz5,Bucky,She token,Ef8t2x1AB3CXKJ4Ynju148tVgkjnye1eVB9TtZYpTf5c,$0.012000,$12.0M,$11.1M,$12.0M
Dn3DFUNDKEyMJGrEsuzTiYrfEwtPo86iH5qTKzbbtiag,Peanut the Squirrel,PNUT,E3PzhTVKKuKbv63cPevLn9TuMq5fHSayxr4Amy1YPxPm,$0.357300,$357.3M,$356.3M,$357.3M
JAQk8WXimBZCzspDnbhbARvMpiQjSZ5jg5zJB9jBAfp,PUMP 2026,COIN,2zt4mNFDtDxD1onasDcJrcsaZuPzCd4LUbjxtfJphfkm,$0.000161,$160.9M,$644K,$160.9M
55qATV9EVjhzWax7T9vJnPeVJvnrs9dJiHWg2v3pvK7q,The Norman,COIN,CSkLeJ6kEqbsdWnKUk7gMBqAEGTMvTWnAieKC35jnyzC,$0.000086,$86.1M,$344K,$86.1M
E3HGxxoc7vJNZZZz1ptrAhYkJrptsYxXSjMdn56EmLLD,snowball,00,S85V9cpCT3iGMXWDg9mfMzUx6iK9iEBLmsw2C91gSM9,$0.007369,$7.4B,$29.5M,$7.4B
9AkmYNDUbRk3P29GYJrxodVoeRy5zU7XrGfTKqpSkoY3,Launchr,COIN,6oRnJukEw6xMrvY8fCUkmMt3Fi2LYFdSjFQXfLg7C5j1,$0.001209,$1.2B,$4.8M,$1.2B
4HhUsZKHeRFALcf8m4a5mxA8nifX4sswiNwWDoRCXK8z,silver coin,00,AGVn4BJSU6drofDBGK1HPzrTTaWHw4i5Snsqzti6LsRs,$0.000141,$141.0M,$564K,$141.0M
H74CYmXgMkYHYuSRsZt6RJb4NYp2u72Vw8BS5huApump,LMAO!,LMAO!,AFaYrFH7hUYnkv5mbvbnRHwX29M9JzUL3ySGtQz69AUv,$0.002137,$2.1M,$229K,$2.1M
742up3Rav6LwPiqNx1nsnocmjh8W4bBT56v9T5jofq9K,Pippin,THE,6NSg6UcL6xEQDjBQ7VZJBb5KokX7MsQpB7Eg4Dp2YdPu,$0.196100,$19.6B,$78.4M,$19.6B
56TmqywBEPMoiLBTBbufEVSTCAcSDrPD5NLsK3EwutF1,kinton the frog,Coin,9RnxJX2Z2XH1Mf9pRgojVmKJuaDNjCC8eFHmxCXCRcCh,$0.001080,$1.1B,$4.3M,$1.1B
F95A59dKt7RvzhyuYFGXyhjyx6XK7V17asBhnXcy79rV,larpball,00,BJC3HW2TzJsvw5AJfyjQ9o7TMvUtSqTKBmrBZJfxmh8t,$0.000530,$530.0M,$2.1M,$530.0M
ApfF9V4h12xhoq86mp28Cd9NmyryPgrGuauaZTAFo3fV,liquid,00,AwdAHLFiCKn3S3ity3wst214XfUovanDFpwyaTUkF3kr,$0.001409,$1.4B,$5.6M,$1.4B
6jvvwtEEqvNmwoLFizgzrBuzVbu2S2PLjbGUJtc2FXBd,FaZe Holdings Inc,COIN,GRMcTeqS1v9BYeJ2wTbJzrNKw396aWVWQuqEKn81Bt8p,$0.000181,$181.0M,$724K,$181.0M
GeSt2uBHvuPW6QaupVXduMxQohHA3HQa2Hx8JmnZPBzL,Bearly Legal,BEAR,DzVmoCfU4wCk31yi63N3NuuJBMXyUZoSWSqbZLcPiyBH,$0.003407,$3.4M,$183K,$3.4M
2kQ6c5UyHbjk7pQyyydEtuy3Xa9BqxiqG7SRZtSYpfpc,2026,00,GXVZSGZnTGVb164q23fXd7WFhJ6wBAeqpBMbF994dSAZ,$0.000481,$480.6M,$1.9M,$480.6M
EHmZXR4XSWN6BSWoHCZXYMkP8SLvy4pmu7g5X4gyktwD,Tuna,00,DqLY2iGDqrf9XR7rCdgJ5eTVoVdovH5LJkB8TJeMG5uy,$0.001220,$1.2B,$4.9M,$1.2B
9nRPSVujQmHL2PXgq2stjb1Yt3doVM4RfKw7U2yxjBhV,The Official 67 Coin,THE˙,FMtzUXB4CUs68LqGFxJ3cpFVCz177X4eWU8tonALbupV,$0.016720,$16.7B,$66.9M,$16.7B
jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,Jupiter Staked SOL,JupSOL,5cvcHrD2uh2CXhmZnMHsTVWJW1qtyikVaN3MCJNaCKMh,$141.440000,$539.1M,$466K,$539.1M
6eTcKxzLQiNwymeKmM51gdJJgLkSvkgH4iQBxuxSG1Nd,BEPE,AI,BfN5MdNrSjFJMTBTmrbvHXeS1VMVsFQg42k4559guPBi,$0.001310,$1.3B,$5.2M,$1.3B
GwQAuEhNV3BqqFpW2U9A9KCSDcM12UfuHSbnSwqgVW26,WHITEWHALE DINOSOL ALTCOIN778,INFRAXABHE,2o6hLSfFoYaj9TTULnQYyqhi9ro1kTdMg8cbpebb4wRx,$1.680000,$169.0M,$169.0M,$169.0M
49Uoi4srgmpocf2vme66HKtWTuyKV5ejysemaWU3qx3G,The Black Whale,00,8AmRua2U628wQrSFjkTAnBmizrzqbUiSQ6evujQ99Tos,$0.000271,$270.9M,$1.1M,$270.9M
DSujWQGoKcM1e45HpkBwT5FqSXfurs553irUN8m6bQuD,Franklin The Turtle,Turtle,6jfE1qbW3mVBNhQDZjt85zywAwcgmz5S4Vg6UGfTKoAy,$0.001209,$1.2B,$4.8M,$1.2B
Fj6ziqLtq57mNBnCX42kTAvaU9AavgQHFcjosQvszzJu,Buy The Pikachu,00,AcBWhXPxfnhxUBh5R4uZv9zdUtFFtjHFR94nysCigYrU,$0.000242,$242.2M,$969K,$242.2M
BbpSWfp2W52BjfVNp2MGihrrHQkg6a5YLKSWyrNHTo9Q,the savior of the trenches,Coin,FNtBcuBGw71ZL6gwwaCQve9tSa7npkYSP3WGFBPEh2sd,$0.000118,$118.1M,$472K,$118.1M
ExEYQeAuaMXEg5Q8vGUmiQsUS4n7zTAdD8Dbx4Rfg7Bv,Kabuto,Coin,BsitmjfcFnBSts8mJKS6iCChfL6gQ24h6ehiYhY74wNL,$0.001309,$1.3B,$5.2M,$1.3B
DY9Hh4tvMSYErNvP3LmLLwtD8MZGeFdmhYo3PqcPDYUV,testicle,THE˙,F7Y3eVFTB65pa6eDJWPAw5LoYyyuv5R3H76mczBg3oxZ,$0.000291,$291.0M,$1.2M,$291.0M
9NAaxrAzTEMC6u9TNYbnNNqzaRtEgbbEqsVERaftTutL,ai16z,00,HcqQ8FzpJ4R8RFbwapS8Ch35EoDYP7SmyhJEiRtpm6Dz,$0.002700,$2.7B,$10.8M,$2.7B
Egtoetiw3pKRNSzwgXZRWgMCbUSZmb2qPVwP2w8BoAzw,Jupiter,JUP,CAfkBm4ZW8SB9vbvX8GNNZRo6obF4FEz7Vd3xKiQiE5k,$0.800600,$8.0B,$8.0B,$8.0B
H8kcewKs6Hw5WaDV4txnJBETABvAruXoinSw8n9t92nf,SURGE,AI,BWM95j51q61tFMsKNkfQSwtbxSamUenALkXJ1X4AuAjc,$0.000141,$140.9M,$564K,$140.9M
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,OFFICIAL TRUMP,TRUMP,9d9mb8kooFfaD3SctgZtkxQypkshx6ezhbKio89ixyy2,$4.870000,$975.8M,$187.7M,$4.9B
G4zwEA9NSd3nMBbEj31MMPq2853Brx2oGsKzex3ebonk,Momo,MOMO,EPVwQEJCnenVSNYECMA2955BGTqJk2ptXuggrvtiFFG2,$0.002651,$2.7M,$246K,$2.7M
7aEjKLDGZHw2u1g7KFUCM5Lfrr2ksJZkyZAPhrmh3uPK,TROLL,N/A,21SrTNRBE9K7koTiShLXtYVe7CsZFYGtj5ACQqPjUD58,$0.049600,$49.6B,$198.4M,$49.6B
NwnsAcusMUpDtY9zajccYr3JGy3YzzzKpYL43yoGHhb,Zerebro,ZEREBRO,39Yczijyivu5oR2HN2p6NJWw5xGiL26vrjpSb6mGzcgj,$0.283100,$283.2M,$282.0M,$283.2M
7FhvD8mj6YyAb87fho49hoeHEXmcCWKxdhd5SdE5wm6p,Fireball,00,YXPgr9WnUmWZzBt9wyik9235MdeSWU5oBdVQNXFnXxM,$0.000691,$690.9M,$2.8M,$690.9M
85cQsFgbi8mBZxiPppbpPXuV7j1hA8tBwhjF4gKW6mHg,Rizzmas,Rizzmas,HGRvEZF83Hm2x5HoVx9ec2cBiAjTmWFHK6VCUPLH4yDY,$0.000002,$1.2M,$375K,$1.2M
4EtTi21fdRvYk2FgAWcHYwohguPBe8JEFGfUHcCWsW6t,Swarms,SWARMS,4b7ZxP9LzfuHGRZXbQ1ey6Wmd5bugcSHbPQMfyD5farx,$0.583200,$583.3M,$579.9M,$583.3M
BQX1cjcRHXmrqNtoFWwmE5bZj7RPneTmqXB979b2pump,Italian Brainrot,Italianrot,2baC5JL75NosEr2oLJZ14gbNjWDuUq3ui33ZPLZTgCEA,$0.001002,$1.0M,$281K,$1.0M
48eKhwwadm7LJ57msuDYdq36CXx23Ratdbu74Pa1NULL,NullTrace,NULL,EuFbCFZxznu9aKWnR8zMuipaDJwcAaFgFoeQpcmnTKtM,$0.001407,$1.4M,$209K,$1.4M
4HuSTfcJruukNbhrF9sc5iKrMeGxNBs6XpQ1L2hUpump,opaium,OPAIUM,FJUtc21eLo7k4E6eb86r5WB8ikD8Gizw3SJDPPoL7wjp,$0.000340,$340K,$101K,$340K
2ouNdxgqV7cYprK8EEhhreafYREiRLMUzvdnujY9FUas,dogwifhat,WIF,ESSGvVLvRdDjG4z8ESS4QA1CKCAtMkjaPW6vjWUnFP85,$1.500000,$1.5B,$1.5B,$1.5B
4qMhXbJXhXGDmHQ3as6YejMHj2nP3hmC2w7xtkJ4pZ8X,Bertram The Pomeranian,BERT,AjHR14t2hXoVjwY5xtHWR4BknZuTBVNfBHwvTsWi61mt,$0.072520,$71.1M,$70.1M,$71.1M
2REv3E31SK1uutWCuqG1nrgDNhgdcCeqfeMmmSzEi8xu,Unstable Coin (usduc.org),USDUC,AgxqY2uA7Pk51vVb5o76u1FDKQKBmPy7gDE1aM2148bt,$0.069780,$69.8M,$68.8M,$69.8M
Bvr82Z4qxbWTuoVDHzjbfPZ8jYfTjCyFVcoE2H7foVCc,Gigachad,GIGA,DpGQd8YysX4qGVdTBeGUyZVU6g5KvTnq6xzkKKddt6P8,$0.013110,$131.1M,$130.1M,$131.1M
6GjVztaLrALWxtecUKzLHyS1DTtZJrD1i1RyW96Z8rBZ,PayAI Network,AI PAYAI,HN6ENxPPK9A4NPGEtjAwDKTtUeTMxMUgbZxDy8cxjvAn,$0.029600,$29.6B,$118.4M,$29.6B
LkW6Lk37bdvX4j3pmwRKDEu8LgZuBuRY1V8cgRyESrR,hand.ai,HAND,EgUUt1UJrjnwTDwkvTa945yWGLYxXLp9JhgPcBUmU7ce,$0.220300,$220.4M,$624K,$220.4M
EjjnZNQZSFsVcFdEZQHvgbnwcn2Eo9oTiQbychCNC86P,Ore,ORE,BdCkrmJToujrbEjw8E5JHQrPXx53xQ8HoJxSVDqYcfX4,$577.370000,$2.9B,$2.9B,$2.9B
76rTxzztXjJe7AUaBi7jQ5J61MFgpQgB4Cc934sWbonk,67COIN,67,E9oGC72mZWYqmzR5ggB9DAoGyRssR3uhFWHG1L75RZve,$0.000314,$314K,$112K,$314K
GMzuntWYJLpNuCizrSR7ZXggiMdDzTNiEmSNHHunpump,Daydreams,dreams,HMqJNKrVf24mUVgdWC4LjuLxWgMBrGU7HAWLji6hLaJQ,$0.006546,$5.6M,$503K,$6.5M
F2uvr8qmQNMKsLS9KPrXcyqYVXeVS4Gu5iRyS2p2Bixw,RankChain,RCN,DYZopjL34W4XpxbZaEjsCsXsrt6HbgE8WMCmPF1oPCwM,$0.026350,$26.4M,$177K,$26.4M
AT13ipG8K4HDyEJm3H1ZVQV2Bw8sihewoLQReSMsYo3o,AU79,AU79,CqmwcyB7fGor8z7As56yXBQzWjy7MnACtmj6wuLHgV5H,$0.006039,$6.0M,$890K,$6.0M
88SoYgkT7p7MNEhDr17AztWcdhSetpFVtDFPZj5CVAQT,AI Rig Complex,ARC,72cZkdmmRm4TRFsHWydyA7qs1UXdLoRnsTGyJmpwSMv5,$0.304700,$304.8M,$303.7M,$304.8M
63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,GIGACHAD,GIGA,4xxM4cdb6MEsCxM52xvYqkNbzvdeWWsPDZrBcTqVGUar,$0.003773,$36.2M,$2.1M,$36.2M
AoXqPxSYjMmsvue1GYW6rGk3uvLcSEKbZ9fhwVoFg5B,The Silver Whale,00,7PHriCY5ir94FrZP4TPAB49Vjy1mTWbrMjGVL6KWKUEK,$0.000646,$645.8M,$2.6M,$645.8M
G1Ur5W7wBzHyiEAGoQnCsC9MNWThNFXzKrVyL4BusnFy,The Killer Whale,THE˙,Gnoyjv76tR1mQmum1gJ2QDEcY54ZhqihSkMmn9Cr81o2,$0.000099,$99.1M,$396K,$99.1M
5iuGuFzPQW2B1sQbQWfcQRLUZjcvbgZKRNFiZjuHfbQC,EXARION,AI,BQyg9eD7dCjNTaqSE6SjHPpAcKF8F367RwrsfCKYWpKH,$0.001710,$1.7B,$6.8M,$1.7B
AY58PECumWnWqxV6mFUTHaJUbvfPZxAQf9k83XGXN94b,The Trash Whale,00,C572j4JZ1Q7VzVftGFAxXJdX2dE9pK4xujrsmhffbRAh,$0.000341,$341.0M,$1.4M,$341.0M
B4bLPmzmJ9dumUkbLzgNZq4eoke8z81QfqQubSqrCRxa,RugProof v2,00,6DgbrsFCps6c3FsCdGdQtryuwxxWURBnH1NWYoe7npyH,$0.000605,$605.0M,$2.4M,$605.0M
8hWmMYALXAsm6sx8VaX3iygAMtLntvyPMzRp25fkNAb5,Holly The Squirrel,00,BUyBjxVKEyaUZFJrooo6jy8DC3eDEW5SfdKKeUqdjK7a,$0.010110,$10.1B,$40.4M,$10.1B
hEFKPLCEYbjZcPKJrZUCVHTRhCPx3gFVV7EEKEXbVpg,The Shrimp Army,00,4hw8mJqU4pkvsaBmCS2UDPhawgKHCa5isJkj7PyqYdB8,$0.000591,$591.0M,$2.4M,$591.0M
9V5HxYYdkgtH4AmkXtr4FynKdnjM5Up8EYY4PX1bktMF,LooksRare,LOOKS,35UKKDUAbQrNS4tYWrJGvrXe1VNXN2AV7BuULiaQoY1W,$0.014110,$141.2M,$140.2M,$141.2M
C29ebrgYjYoJPMGPnPSGY1q3mMGk4iDSqnQeQQA7moon,Nobody Sausage,NOBODY,7rQd8FhC1rimV3v9edCRZ6RNFsJN1puXM9UmjaURJRNj,$0.017450,$16.3M,$1.5M,$16.3M
ENgSDTZjZHLrXkYbQP3j3vzD9ANdnc8VCs9yxi1cMi55,Teddy Batman,Teddy Bat,6K86RRMKLWotny1gJjCZfNZSr7AEGzwNwEsFdjrPfu7g,$0.068530,$68.5M,$229K,$68.5M
F1CXTcnrNSb6cWFnoCohed7nuc5biUJ5ipKSHaDC9t83,Blindfold Finance,00,GavxgfWrXT1AfZ6rYvsW8paEvzfnvRsuh225EKWMezJT,$0.001709,$1.7B,$6.8M,$1.7B
HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump,Alchemist AI,ALCH,FyDF3vKQFbcvNTsBi7L7LremrFPmXKbQqgAgnPg1hXXd,$0.142200,$120.9M,$5.5M,$142.2M
x95HN3DWvbfCBtTjGm587z8suK3ec6cwQwgZNLbWKyp,Hachiko,$HACHI,DqAfrGV2GBxpGRsq6Xk1z9ojRncqgLeeVPaKg5bCc24Z,$0.000000,$3.7M,$109K,$3.7M
EFMk3nXB4KbW97jQZ9JFtBYwMdbboBbWK3L1Hz6K3HRV,The Golden Whale,COIN,GEtzTnvVS7V2xMZkm6AbYWoU4PuHT86vojPGn6vFS7QG,$0.000079,$79.0M,$316K,$79.0M
a3W4qutoEJA4232T2gwZUfgYJTetr96pU4SJMwppump,The White Whale,WhiteWhale,4qxSqMh6iEdbdvtMp8r5MK2psAGKNk57PfGeVo2VhczQ,$0.056130,$56.1M,$1.0M,$56.1M
96VA7rK2uRMheabmNMsNrHD3WTxvWL78CoF2P6DuuUJE,learing,COIN,5m9jdzETgCudMWyirejSTtpCN3G5zRB8ASF25LW3kSRg,$0.002809,$2.8B,$11.2M,$2.8B
8WJn3HtKGYvVy1tK9ENDW6cpXdNaodCWybwQdfeWXisZ,The Black Whale,Coin,74wt83CkC9SKCX9Wheom2WffVgQF97eKe9FRVXWeJm1Q,$0.001940,$1.9B,$7.8M,$1.9B
FgYXtNaNuhENgNKEsvcdLcBzMMsM1rd4LnebVdBmFwuw,The White Whale,COIN,EqeT1kre9yQkpcfEZJJrgCKRuve4ZuTgdRbpDFiLD8wb,$0.054090,$54.1B,$216.4M,$54.1B
GzC24MRi6Tv6vPxDQ2d5npX7rR4TYxkY9ae1PpjnZXte,maxxing,AI,JnYCGdW4xcgwfbiaPSAyGtGH7gu4e8sNYvKexsrGQCw,$0.000641,$640.5M,$2.6M,$640.5M
73EAJNEWS9829rZT9fUoGCMPktce6VaQxbsC3jmNyLHV,The Blue Whale,Coin,6TA66UTjXDHa5E4R38Bm1z1WqZiS8aKGqzxHhPofroyL,$0.001209,$1.2B,$4.8M,$1.2B
HY53gQddGCmU4h1ugqVWAZv5vpkJ9KLbweYgxy77GaNG,Official Nick Shirley support,COIN,J9pB4Yn5UEiDzGwZPVw7RiSXDPEPGBET1LjQZniujBQ6,$0.000121,$120.9M,$484K,$120.9M
