Token,Symbol,Contract,PairId,Price,MarketCap_raw,Liquidity_raw,FDV_raw,MarketCap,Liquidity,FDV
The Official 67 Coin,Coin,7N4tdnRAs39NhLkXi74BEPpzE1Z6AvVoPckgab3m2hgf,C6usWx9rbKh3zNLTmctGrY62EEanmxvSiL4voeFfjua4,$0.021430,2143323163.0,85732932.52,2143323163.0,$2.1B,$85.7M,$2.1B
PayAI Network,PAYAI,58bejSHNu9onqtBC3Q5EwMVPtYyQrEEibyVUQJQ2TV7K,BAPHWn3BPGPh26cP4VLnzhtAzRhvdVfMj8nsQiTvGFuX,$0.042920,429274263.0,428264659.4,429274263.0,$429.3M,$428.3M,$429.3M
HeyAnon,Anon,0x79bbF4508B1391af3A0F4B30bb5FC4aa9ab0E07C,0x3667af77FF1481aca513d2C97A32C0ac31ba813D,$1.600000,21544568.0,262848.59,1618831.0,$21.5M,$263K,$1.6M
Popcat (SOL),POPCAT,Cpnm1fZUjm48M54Gaae2kwQfMgHX9NZHozhyVb55rfyD,EbYMiGkh36mcQ6sHDdizW96Qd3CsM9GTw8kSbA4fPvhv,$0.617900,605590361.0,604354434.75,605590361.0,$605.6M,$604.4M,$605.6M
World Liberty Financial USD,USD1,0x8d0D000Ee44948FC98c9B98A4FA4921476f08B0d,0x2d97d14362ae5a19a15adb230cf8840ee7e133bf942fd8efd754ae4d078727ea,$1.013000,2897385635.0,1063377.34,669173848.0,$2.9B,$1.1M,$669.2M
RADR,RADR,CzFvsLdUazabdiu9TYXujj4EY495fG7VgJJ3vQs6bonk,HdVSFB94b9qJXPgQNWyho75hgrybmM5P1ex2wmAfmYgS,$0.002059,2056697.0,174287.9,2056697.0,$2.1M,$174K,$2.1M
Avici,AVICI,6VLPpJdMuDaq62oSXhY97FXA72nkNfFg61ZZjzmiNn9W,By6c7itsr7iw3SGaNh6LJMjUEefj6FEgkqqEpyBCeHXJ,$3.150000,3150824379.0,787706098.81,3150824379.0,$3.2B,$787.7M,$3.2B
You’ll own nothing & be happy,AI,4qrwcQHTqSkqzinEpK6V7sBc731SFkgNz3GfUqxmGUSc,H3n5hHvGr8w5iqmNkxy8KYkgNjxP8Bie2y8DgFAQn6iz,$0.001910,1910124356.0,7640497.42,1910124356.0,$1.9B,$7.6M,$1.9B
AUSD,AUSD,0x00000000eFE302BEAA2b3e6e1b18d08D69a9012a,0x4997B3c6E1007da43Fef3ad75518AcE849d1A910,$0.999900,14301736.0,949250.51,14301736.0,$14.3M,$949K,$14.3M
GIVEBACK,GBACK,Fh7mLxtPAysdvHcMcJ37A3vc6WvBVh7JVDwxmwk6pump,5imMdVjpsBM84z9JvYw1aHfNF8zTA3unrmWeYUQKkiQs,$0.005637,5636698.0,231054.3,5636698.0,$5.6M,$231K,$5.6M
nubcat,NUB,Eowmevno7iY2mdPZ7XVr7xLVDCTmqtnypDfjXHYTTNZ,32GJJvb2L5RnQMki91Edyd7vfao1fXPFHMs3aywQRpJm,$0.017450,17449882.0,16440264.08,17449882.0,$17.4M,$16.4M,$17.4M
Bagwork,Bagwork,6sADkbuRcPzfUtTzfxTFKYeVoM95VTJM9Lksu33L3S6Q,C5gBQRptqNwfmcnFz6CpvLYGRtjMvCWt8B546pie1cwm,$0.022680,226872732.0,225872824.06,226872732.0,$226.9M,$225.9M,$226.9M
Act I : The AI Prophecy,ACT,6ChkJxiCJPS3rFteknwSup73S6oceWqaG6QyDiFyd3HY,EcKrXbUUZJZ9HoJoD4WwD29Q5rspVq5d6nhgCzbqZtMJ,$0.207600,196940588.0,195940496.64,196940588.0,$196.9M,$195.9M,$196.9M
SPX6900 (Wormhole),SPX,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,9t1H1uDJ558iMPNkEPSN1fqkpC4XSPQ6cqSf6uEsTfTR,$0.478400,60022893.0,2320858.93,60022893.0,$60.0M,$2.3M,$60.0M
Aura,AURA,HuiFbLTyNsFtc5WbfXhZCg7AaSjRXAkxbwGzFFrqhRxg,8FqgoA6bvJwc7xzqCyH5AZM3ZvgzsTNEd1j1q5rJUWuC,$0.140200,135375502.0,134375445.73,135375502.0,$135.4M,$134.4M,$135.4M
MORI COIN,MORI,2Vn3Vj96LMK1Wkg9C2MHYhcS1EiZEq9RB55P5YWeqauU,4KWUvWMpBxp71rccQVDqTqxAbuJUJaVidcQfzwpQKu9a,$0.195400,195439152.0,194439147.2,195439152.0,$195.4M,$194.4M,$195.4M
Just a chill guy,CHILLGUY,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,93tjgwff5Ac5ThyMi8C4WejVVQq4tuMeMuYW1LEYZ7bu,$0.016300,16307563.0,1544192.81,16307563.0,$16.3M,$1.5M,$16.3M
NotInEmploymentEducationTraining,neet,Ce2gx9KGXJ6C9Mp5b5x1sn9Mg87JwEbrQby4Zqo3pump,5wNu5QhdpRGrL37ffcd6TMMqZugQgxwafgz477rShtHy,$0.007510,7508676.0,769590.55,7508676.0,$7.5M,$770K,$7.5M
Official PPshow ,PP,ch7rTovcUK7C1zNFM7F93kXU2CByYUsJT4pwYx7pump,H9YAf1gvANURxq4LatFVF56UnAPpk1FU8jqC8XY6FYdG,$0.004558,2288164.0,221771.95,4107077.0,$2.3M,$222K,$4.1M
Housecoin,HOUSE,6uR93yvbm6t9zWA5bePe2mtqWd1hXauQwgs9TcUnj9MR,3dED3CAuqtZrLtkuhJHtFzNiR75P1QxPMBthFibsfLWV,$0.101700,101769896.0,100769930.57,101769896.0,$101.8M,$100.8M,$101.8M
Never Give Up,MINER,Gka1TQEevBbVw4W9K15ER96ZzKByMTb6TBMQzWFEpump,7RewgB9eXiLbaFdLU14cQLY46wH4Ccn46DxsMh51iGay,$0.000626,626267.0,103869.08,626267.0,$626K,$104K,$626K
SwarmNode.ai,SNAI,Fj732haAQoW2GfL73bwThJFNAvAcCoHZ6vmUnFA2rxyh,BK5uZwP8zo9KXpYwDYUKhsPxRR6BvuzwhfM9sSQExjXD,$0.055630,55634314.0,54487556.3,55634314.0,$55.6M,$54.5M,$55.6M
PWEASE,pwease,CniPCE4b3s8gSUPhUiyMjXnytrEqUrMfSsnbBjLCpump,9fmdkQipJK2teeUv53BMDXi52uRLbrEvV38K8GBNkiM7,$0.002224,2224230.0,657177.71,2224230.0,$2.2M,$657K,$2.2M
Bucky,She token,FenZrzq6ET7D7oDBQ7aZcVHG1CzfegsxmfQEg7xAQMz5,Ef8t2x1AB3CXKJ4Ynju148tVgkjnye1eVB9TtZYpTf5c,$0.012000,12000060.0,11120952.95,12000060.0,$12.0M,$11.1M,$12.0M
Peanut the Squirrel,PNUT,Dn3DFUNDKEyMJGrEsuzTiYrfEwtPo86iH5qTKzbbtiag,E3PzhTVKKuKbv63cPevLn9TuMq5fHSayxr4Amy1YPxPm,$0.357300,357294455.0,356288081.31,357294455.0,$357.3M,$356.3M,$357.3M
AS Token,AS,0x6A92B1E99De09f71CD96BC91F934826d96B8b26E,0x1A9221261dC445D773E66075B9e9E52f40e15AB1,$1.490000,6145465605.0,18681244.09,52169720.0,$6.1B,$18.7M,$52.2M
PUMP 2026,COIN,JAQk8WXimBZCzspDnbhbARvMpiQjSZ5jg5zJB9jBAfp,2zt4mNFDtDxD1onasDcJrcsaZuPzCd4LUbjxtfJphfkm,$0.000161,160915612.0,644027.94,160915612.0,$160.9M,$644K,$160.9M
The Norman,COIN,55qATV9EVjhzWax7T9vJnPeVJvnrs9dJiHWg2v3pvK7q,CSkLeJ6kEqbsdWnKUk7gMBqAEGTMvTWnAieKC35jnyzC,$0.000086,86088470.0,344354.09,86088470.0,$86.1M,$344K,$86.1M
snowball,00,E3HGxxoc7vJNZZZz1ptrAhYkJrptsYxXSjMdn56EmLLD,S85V9cpCT3iGMXWDg9mfMzUx6iK9iEBLmsw2C91gSM9,$0.007369,7369875313.0,29479501.46,7369875313.0,$7.4B,$29.5M,$7.4B
Virtual Protocol,VIRTUAL,0x0b3e328455c4059EEb9e3f84b5543F74E24e7E1b,0x3f0296BF652e19bca772EC3dF08b32732F93014A,$0.691600,453794327.0,654743.9,691652757.0,$453.8M,$655K,$691.7M
Launchr,COIN,9AkmYNDUbRk3P29GYJrxodVoeRy5zU7XrGfTKqpSkoY3,6oRnJukEw6xMrvY8fCUkmMt3Fi2LYFdSjFQXfLg7C5j1,$0.001209,1209842680.0,4839370.93,1209842680.0,$1.2B,$4.8M,$1.2B
silver coin,00,4HhUsZKHeRFALcf8m4a5mxA8nifX4sswiNwWDoRCXK8z,AGVn4BJSU6drofDBGK1HPzrTTaWHw4i5Snsqzti6LsRs,$0.000141,140985002.0,563940.21,140985002.0,$141.0M,$564K,$141.0M
LMAO!,LMAO!,H74CYmXgMkYHYuSRsZt6RJb4NYp2u72Vw8BS5huApump,AFaYrFH7hUYnkv5mbvbnRHwX29M9JzUL3ySGtQz69AUv,$0.002137,2137753.0,229255.44,2137753.0,$2.1M,$229K,$2.1M
Pippin,THE,742up3Rav6LwPiqNx1nsnocmjh8W4bBT56v9T5jofq9K,6NSg6UcL6xEQDjBQ7VZJBb5KokX7MsQpB7Eg4Dp2YdPu,$0.196100,19610236436.0,78440945.96,19610236436.0,$19.6B,$78.4M,$19.6B
kinton the frog,Coin,56TmqywBEPMoiLBTBbufEVSTCAcSDrPD5NLsK3EwutF1,9RnxJX2Z2XH1Mf9pRgojVmKJuaDNjCC8eFHmxCXCRcCh,$0.001080,1080794596.0,4323178.59,1080794596.0,$1.1B,$4.3M,$1.1B
larpball,00,F95A59dKt7RvzhyuYFGXyhjyx6XK7V17asBhnXcy79rV,BJC3HW2TzJsvw5AJfyjQ9o7TMvUtSqTKBmrBZJfxmh8t,$0.000530,530005706.0,2120023.03,530005706.0,$530.0M,$2.1M,$530.0M
liquid,00,ApfF9V4h12xhoq86mp28Cd9NmyryPgrGuauaZTAFo3fV,AwdAHLFiCKn3S3ity3wst214XfUovanDFpwyaTUkF3kr,$0.001409,1409850142.0,5639400.77,1409850142.0,$1.4B,$5.6M,$1.4B
FaZe Holdings Inc,COIN,6jvvwtEEqvNmwoLFizgzrBuzVbu2S2PLjbGUJtc2FXBd,GRMcTeqS1v9BYeJ2wTbJzrNKw396aWVWQuqEKn81Bt8p,$0.000181,181008112.0,724032.44,181008112.0,$181.0M,$724K,$181.0M
Bearly Legal,BEAR,GeSt2uBHvuPW6QaupVXduMxQohHA3HQa2Hx8JmnZPBzL,DzVmoCfU4wCk31yi63N3NuuJBMXyUZoSWSqbZLcPiyBH,$0.003407,3407284.0,183252.14,3407284.0,$3.4M,$183K,$3.4M
2026,00,2kQ6c5UyHbjk7pQyyydEtuy3Xa9BqxiqG7SRZtSYpfpc,GXVZSGZnTGVb164q23fXd7WFhJ6wBAeqpBMbF994dSAZ,$0.000481,480643056.0,1923664.14,480643056.0,$480.6M,$1.9M,$480.6M
Tuna,00,EHmZXR4XSWN6BSWoHCZXYMkP8SLvy4pmu7g5X4gyktwD,DqLY2iGDqrf9XR7rCdgJ5eTVoVdovH5LJkB8TJeMG5uy,$0.001220,1220780041.0,4883120.37,1220780041.0,$1.2B,$4.9M,$1.2B
The Official 67 Coin,THE˙,9nRPSVujQmHL2PXgq2stjb1Yt3doVM4RfKw7U2yxjBhV,FMtzUXB4CUs68LqGFxJ3cpFVCz177X4eWU8tonALbupV,$0.016720,16720907112.0,66883628.44,16720907112.0,$16.7B,$66.9M,$16.7B
Jupiter Staked SOL,JupSOL,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,5cvcHrD2uh2CXhmZnMHsTVWJW1qtyikVaN3MCJNaCKMh,$141.440000,539065277.0,465562.38,539065277.0,$539.1M,$466K,$539.1M
BEPE,AI,6eTcKxzLQiNwymeKmM51gdJJgLkSvkgH4iQBxuxSG1Nd,BfN5MdNrSjFJMTBTmrbvHXeS1VMVsFQg42k4559guPBi,$0.001310,1310862491.0,5243450.21,1310862491.0,$1.3B,$5.2M,$1.3B
Kabosu,KABOSU,0xCEb67a66c2c8a90980dA3A50A3F96c07525a26Cb,0x8e6C1149615a745124c408edcB460BA228C0206f,$3.520000,1479583625659.0,16475509.44,1479583625659.0,$1479.6B,$16.5M,$1479.6B
WHITEWHALE DINOSOL ALTCOIN778,INFRAXABHE,GwQAuEhNV3BqqFpW2U9A9KCSDcM12UfuHSbnSwqgVW26,2o6hLSfFoYaj9TTULnQYyqhi9ro1kTdMg8cbpebb4wRx,$1.680000,168990746.0,168991465.46,168990746.0,$169.0M,$169.0M,$169.0M
The Black Whale,00,49Uoi4srgmpocf2vme66HKtWTuyKV5ejysemaWU3qx3G,8AmRua2U628wQrSFjkTAnBmizrzqbUiSQ6evujQ99Tos,$0.000271,270946248.0,1083785.2,270946248.0,$270.9M,$1.1M,$270.9M
Franklin The Turtle,Turtle,DSujWQGoKcM1e45HpkBwT5FqSXfurs553irUN8m6bQuD,6jfE1qbW3mVBNhQDZjt85zywAwcgmz5S4Vg6UGfTKoAy,$0.001209,1209842734.0,4839371.14,1209842734.0,$1.2B,$4.8M,$1.2B
Baby Doge Coin,BabyDoge,0xc748673057861a797275CD8A068AbB95A902e8de,0x0536c8b0c3685b6e3C62A7b5c4E8b83f938f12D1,$0.000000,99885382.0,194895.94,114941940.0,$99.9M,$195K,$114.9M
Buy The Pikachu,00,Fj6ziqLtq57mNBnCX42kTAvaU9AavgQHFcjosQvszzJu,AcBWhXPxfnhxUBh5R4uZv9zdUtFFtjHFR94nysCigYrU,$0.000242,242167031.0,968668.33,242167031.0,$242.2M,$969K,$242.2M
the savior of the trenches,Coin,BbpSWfp2W52BjfVNp2MGihrrHQkg6a5YLKSWyrNHTo9Q,FNtBcuBGw71ZL6gwwaCQve9tSa7npkYSP3WGFBPEh2sd,$0.000118,118080104.0,472320.63,118080104.0,$118.1M,$472K,$118.1M
Kabuto,Coin,ExEYQeAuaMXEg5Q8vGUmiQsUS4n7zTAdD8Dbx4Rfg7Bv,BsitmjfcFnBSts8mJKS6iCChfL6gQ24h6ehiYhY74wNL,$0.001309,1309815832.0,5239263.53,1309815832.0,$1.3B,$5.2M,$1.3B
testicle,THE˙,DY9Hh4tvMSYErNvP3LmLLwtD8MZGeFdmhYo3PqcPDYUV,F7Y3eVFTB65pa6eDJWPAw5LoYyyuv5R3H76mczBg3oxZ,$0.000291,290969224.0,1163877.1,290969224.0,$291.0M,$1.2M,$291.0M
ai16z,00,9NAaxrAzTEMC6u9TNYbnNNqzaRtEgbbEqsVERaftTutL,HcqQ8FzpJ4R8RFbwapS8Ch35EoDYP7SmyhJEiRtpm6Dz,$0.002700,2700538015.0,10802152.27,2700538015.0,$2.7B,$10.8M,$2.7B
Ownership Coin,OC,EQC5Dj4AfQaDl40ex6E0WyUDdMBJHbqTXnxNkn8HuQZNzpZt,EQDnOo2y173MmnPtVQ28NnJFinYxMnRcLNpbX8URiCexLeym,$0.041840,878641971.0,208524.1,878641971.0,$878.6M,$209K,$878.6M
Jupiter,JUP,Egtoetiw3pKRNSzwgXZRWgMCbUSZmb2qPVwP2w8BoAzw,CAfkBm4ZW8SB9vbvX8GNNZRo6obF4FEz7Vd3xKiQiE5k,$0.800600,8006022814.0,8004938595.08,8006022814.0,$8.0B,$8.0B,$8.0B
SURGE,AI,H8kcewKs6Hw5WaDV4txnJBETABvAruXoinSw8n9t92nf,BWM95j51q61tFMsKNkfQSwtbxSamUenALkXJ1X4AuAjc,$0.000141,140905028.0,563940.37,140905028.0,$140.9M,$564K,$140.9M
OFFICIAL TRUMP,TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,9d9mb8kooFfaD3SctgZtkxQypkshx6ezhbKio89ixyy2,$4.870000,975814071.0,187677157.81,4879068919.0,$975.8M,$187.7M,$4.9B
Momo,MOMO,G4zwEA9NSd3nMBbEj31MMPq2853Brx2oGsKzex3ebonk,EPVwQEJCnenVSNYECMA2955BGTqJk2ptXuggrvtiFFG2,$0.002651,2651648.0,246341.38,2651648.0,$2.7M,$246K,$2.7M
TROLL,N/A,7aEjKLDGZHw2u1g7KFUCM5Lfrr2ksJZkyZAPhrmh3uPK,21SrTNRBE9K7koTiShLXtYVe7CsZFYGtj5ACQqPjUD58,$0.049600,49600503772.0,198402016.62,49600503772.0,$49.6B,$198.4M,$49.6B
Zerebro,ZEREBRO,NwnsAcusMUpDtY9zajccYr3JGy3YzzzKpYL43yoGHhb,39Yczijyivu5oR2HN2p6NJWw5xGiL26vrjpSb6mGzcgj,$0.283100,283190212.0,282046842.96,283190212.0,$283.2M,$282.0M,$283.2M
Crypto Coin Play ,CCP,0xf0fF93Cf4E1DB26191DfbE212e2d974320866666,0xf0c2654F5f8235E9Fe6Afd9E40967F3849F86443,$1.730000,1723053076.0,459121.26,1723053076.0,$1.7B,$459K,$1.7B
Fireball,00,7FhvD8mj6YyAb87fho49hoeHEXmcCWKxdhd5SdE5wm6p,YXPgr9WnUmWZzBt9wyik9235MdeSWU5oBdVQNXFnXxM,$0.000691,690884714.0,2763539.06,690884714.0,$690.9M,$2.8M,$690.9M
Rizzmas,Rizzmas,85cQsFgbi8mBZxiPppbpPXuV7j1hA8tBwhjF4gKW6mHg,HGRvEZF83Hm2x5HoVx9ec2cBiAjTmWFHK6VCUPLH4yDY,$0.000002,1240826.0,375196.98,1240826.0,$1.2M,$375K,$1.2M
Swarms,SWARMS,4EtTi21fdRvYk2FgAWcHYwohguPBe8JEFGfUHcCWsW6t,4b7ZxP9LzfuHGRZXbQ1ey6Wmd5bugcSHbPQMfyD5farx,$0.583200,583280092.0,579893525.31,583280092.0,$583.3M,$579.9M,$583.3M
Italian Brainrot,Italianrot,BQX1cjcRHXmrqNtoFWwmE5bZj7RPneTmqXB979b2pump,2baC5JL75NosEr2oLJZ14gbNjWDuUq3ui33ZPLZTgCEA,$0.001002,1002659.0,280509.78,1002659.0,$1.0M,$281K,$1.0M
Avici,AVICI,0xC749Eebcae423DD8c286df08C2d58aa4D599aAfb,0x60D276Fe9435c29CFe7Cf07D1d77345B66d2921c,$1.990000,199430508.0,99715253.96,199430508.0,$199.4M,$99.7M,$199.4M
NullTrace,NULL,48eKhwwadm7LJ57msuDYdq36CXx23Ratdbu74Pa1NULL,EuFbCFZxznu9aKWnR8zMuipaDJwcAaFgFoeQpcmnTKtM,$0.001407,1407721.0,208941.18,1407721.0,$1.4M,$209K,$1.4M
Ethereum,ETH,factory/osmo1k6c8jln7ejuqwtqmay3yvzrg3kueaczl96pk067ldg8u835w0yhsw27twm/alloyed/allETH,1982-factory_osmo1k6c8jln7ejuqwtqmay3yvzrg3kueaczl96pk067ldg8u835w0yhsw27twm_alloyed_allETH-factory_osmo1z6r6qdknhgsc0zeracktgpcxf43j6sekq07nw8sxduc9lg0qjjlqfu25e3_alloyed_allBTC,$2919.820000,352408053698.0,202738.68,352408053698.0,$352.4B,$203K,$352.4B
opaium,OPAIUM,4HuSTfcJruukNbhrF9sc5iKrMeGxNBs6XpQ1L2hUpump,FJUtc21eLo7k4E6eb86r5WB8ikD8Gizw3SJDPPoL7wjp,$0.000340,340015.0,101089.59,340015.0,$340K,$101K,$340K
Longinus,LGNS,0xeB51D9A39AD5EEF215dC0Bf39a8821ff804A0F01,0x882df4B0fB50a229C3B4124EB18c759911485bFb,$6.870000,1143057804.0,416747937.67,5278429447.0,$1.1B,$416.7M,$5.3B
Based Bonk,Bonk,0x2Dc1C8BE620b95cBA25D78774F716F05B159C8B9,0x8a3f1a4834e9ea605054ca0deca3ca54a1b2991f505a76db0ebbea97c0479657,$4148.640000,4147938682693.0,52166944.53,4147938682693.0,$4147.9B,$52.2M,$4147.9B
dogwifhat,WIF,2ouNdxgqV7cYprK8EEhhreafYREiRLMUzvdnujY9FUas,ESSGvVLvRdDjG4z8ESS4QA1CKCAtMkjaPW6vjWUnFP85,$1.500000,1508055194.0,1506847378.84,1508055194.0,$1.5B,$1.5B,$1.5B
Bertram The Pomeranian,BERT,4qMhXbJXhXGDmHQ3as6YejMHj2nP3hmC2w7xtkJ4pZ8X,AjHR14t2hXoVjwY5xtHWR4BknZuTBVNfBHwvTsWi61mt,$0.072520,71071920.0,70071967.27,71071920.0,$71.1M,$70.1M,$71.1M
Unstable Coin (usduc.org),USDUC,2REv3E31SK1uutWCuqG1nrgDNhgdcCeqfeMmmSzEi8xu,AgxqY2uA7Pk51vVb5o76u1FDKQKBmPy7gDE1aM2148bt,$0.069780,69780324.0,68780303.52,69780324.0,$69.8M,$68.8M,$69.8M
